Guild,Name,Star Rating,Wage Tier,Round Available,Pool Count,Potion 1 Stock,Potion 1 Potency,Potion 2 Stock,Potion 2 Potency,Cast Time,Keywords,Ability Text
Sugar Guild,Doughboy,,Low,1,4,,4,,,5s,Quickcraft x2,Quickcraft x2.
Sugar Guild,Pantry Stocker,,Low,1,4,2,3,,,Passive,,+1 stock each round.
Sugar Guild,Cookie Seller,,Low,1,4,4,1,,,Passive,,First sale each round grants +1 gold.
Sugar Guild,Apprentice Baker,,Low,1,4,3,3,,,4s,,"After an ally uses Quickcraft, gain +1 temporary stock."
Sugar Guild,Batter Boy,,Low,2,4,,3,,4,5s,Quickcraft x2,"Quickcraft x2. Each time an opponent sabotages you this round, gain +3 temporary stock."
Sugar Guild,Candied Witch,,Low,3,3,,5,,4,5s,Quickcraft x3 / Bewitch,Quickcraft x3. Bewitch one customer.
Sugar Guild,Burnt Batch,,Low,2,4,,4,,,3s,Quickcraft x2,"Quickcraft x2. If this sells nothing this round, gain +6 potency permanently."
Sugar Guild,Sugar Sprinkler,,Medium,4,3,,5,,,5s,,Adjacent allies gain +1 potency (permanent).
Sugar Guild,Sample Server,,Medium,4,3,1,5,,,Passive,,First stock each round sells immediately.
Sugar Guild,Glazier,,Medium,4,3,,5,,6,6s,Quickcraft x4,"Quickcraft x4. If total temporary stock generated this round exceeds 10, gain +3 permanent potency."
Sugar Guild,Sugar Rush Peddler,,Medium,5,3,,6,,5,6s,Quickcraft x4,Quickcraft x4. Each sale this round reduces cast time by 0.5s until end of round.
Sugar Guild,Confectioner,,Medium,5,3,,6,,7,7s,Quickcraft x4 / Haggle,"Quickcraft x4. Haggle. If a Haggled sale succeeds, all Sugar Guild allies gain +1 potency permanently."
Sugar Guild,Tasting Table,,Medium,4,3,2,4,,,5s,,"When a customer walks away without buying from any hireling, redirect them to this hireling. If they buy, all Sugar Guild allies gain +1 temporary stock."
Sugar Guild,Frosted Lookout,,Medium,5,3,,5,,,5s,Quickcraft x3,"Quickcraft x3. When an opponent uses Sabotage, immediately trigger your highest potency Sugar Guild ally's ability."
Sugar Guild,Oven Master,⭐,High,6,3,,7,,7,6s,Quickcraft x5,Quickcraft x5. Allies gain +2 potency (permanent).
Sugar Guild,Rush Order Cook,,High,6,3,,6,,7,8s,Quickcraft x5,Quickcraft x5. -1s cast time for each other Sugar Guild ally.
Sugar Guild,Sugar Crash,,High,7,3,,8,,6,7s,Quickcraft x5 / Bewitch,"Quickcraft x5. Once per round, when your total temporary stock hits 20, all customers in the middle zone are Bewitched simultaneously."
Sugar Guild,The Candy Architect,,High,7,3,,7,,8,8s,Quickcraft x6,"Quickcraft x6. Each time any Sugar Guild ally gains permanent potency this round, this hireling's next Quickcraft generates +2 additional stock."
Sugar Guild,Gingerbread King,⭐,High,9,2,,8,,12,8s,Quickcraft x10,"Quickcraft x10. After an ally sells, gain +2 potency (permanent)."
